,epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,124,0.98785,0.97783,0.52461,0.80107,0.90371,0.6798,0.78841,0.54277,0.75876,0.57143,0.59418,0.18843,1.1388,1.2521,0.83481,0.80585,0.0075844,0.0075844,0.0075844
124,125,0.99123,1.006,0.54324,0.80512,0.87491,0.69704,0.79458,0.53784,0.79004,0.58621,0.6389,0.21768,1.1349,1.1659,0.91512,0.80747,0.0075646,0.0075646,0.0075646
125,126,0.98522,1.0232,0.53229,0.80203,0.86761,0.72167,0.81538,0.53933,0.73874,0.5936,0.62487,0.20407,1.1772,1.2459,0.78248,0.80665,0.0075448,0.0075448,0.0075448
126,127,0.98906,0.99556,0.52698,0.80033,0.86276,0.70197,0.81815,0.54669,0.79811,0.57882,0.64908,0.22881,1.1943,1.284,0.82989,0.81022,0.007525,0.007525,0.007525
127,128,0.96846,0.99994,0.52274,0.79487,0.88596,0.69951,0.80699,0.54545,0.75761,0.5851,0.63631,0.21762,1.2038,1.3017,0.89188,0.81262,0.0075052,0.0075052,0.0075052
128,129,0.97114,0.98907,0.53203,0.80445,0.90385,0.7069,0.80388,0.53171,0.75266,0.57882,0.58799,0.19425,1.218,1.2498,0.79077,0.81399,0.0074854,0.0074854,0.0074854
129,130,0.96573,0.97535,0.50767,0.79972,0.88768,0.69951,0.81246,0.54238,0.79288,0.56404,0.62176,0.22765,1.1812,1.3536,0.91271,0.8137,0.0074656,0.0074656,0.0074656
130,131,0.97413,1.0231,0.52599,0.79554,0.90055,0.68719,0.79735,0.52998,0.78343,0.54926,0.5854,0.20294,1.1915,1.3853,0.90229,0.80934,0.0074458,0.0074458,0.0074458
131,132,0.98725,1.0621,0.51543,0.79455,0.85785,0.71182,0.79864,0.53419,0.77293,0.57389,0.63668,0.22851,1.2063,1.3197,0.90024,0.8082,0.007426,0.007426,0.007426
132,133,0.9647,1.0016,0.5164,0.80355,0.89301,0.71958,0.81027,0.54406,0.80753,0.57882,0.64131,0.21756,1.1891,1.3037,0.8593,0.811,0.0074062,0.0074062,0.0074062
133,134,0.96445,0.99879,0.51659,0.80174,0.90027,0.68928,0.80145,0.54283,0.80575,0.56158,0.60278,0.21229,1.15,1.3539,0.85329,0.80855,0.0073864,0.0073864,0.0073864
134,135,0.95434,0.96439,0.51175,0.80067,0.84542,0.71675,0.79087,0.53882,0.82267,0.55419,0.61282,0.21967,1.1603,1.3134,0.86757,0.80688,0.0073666,0.0073666,0.0073666
135,136,0.95779,0.95169,0.51311,0.79947,0.85439,0.66749,0.77497,0.52995,0.73863,0.57143,0.6254,0.22474,1.1724,1.2427,0.93206,0.80654,0.0073468,0.0073468,0.0073468
136,137,0.9434,1.0016,0.50606,0.79392,0.8486,0.71675,0.79962,0.54013,0.78485,0.56404,0.62332,0.20582,1.1884,1.284,0.8728,0.80915,0.007327,0.007327,0.007327
137,138,0.96768,1.0214,0.50222,0.80334,0.8811,0.71187,0.81553,0.55586,0.79688,0.56404,0.62299,0.20942,1.149,1.2926,0.86677,0.80777,0.0073072,0.0073072,0.0073072
138,139,0.94609,0.92526,0.50061,0.7926,0.93192,0.70443,0.81677,0.55081,0.81558,0.60591,0.65556,0.22668,1.1551,1.2599,0.73814,0.80678,0.0072874,0.0072874,0.0072874
139,140,0.94439,1.0234,0.50924,0.7963,0.88207,0.68161,0.77768,0.52505,0.82767,0.55172,0.60074,0.1998,1.1568,1.3093,0.86436,0.80748,0.0072676,0.0072676,0.0072676
140,141,0.9686,0.96262,0.5162,0.79778,0.85799,0.68456,0.77964,0.53576,0.76791,0.56404,0.61106,0.20602,1.1424,1.2779,0.88199,0.80417,0.0072478,0.0072478,0.0072478
141,142,0.95479,0.96048,0.51572,0.79588,0.86668,0.66995,0.77879,0.53792,0.74764,0.56916,0.61421,0.20502,1.1598,1.2996,0.86269,0.80811,0.007228,0.007228,0.007228
142,143,0.96045,0.99768,0.51801,0.79892,0.82702,0.68966,0.78127,0.52662,0.81277,0.54531,0.62033,0.193,1.1783,1.3342,0.87273,0.80997,0.0072082,0.0072082,0.0072082
143,144,0.95381,0.94459,0.51463,0.79819,0.92071,0.68643,0.80006,0.5433,0.78725,0.59852,0.64599,0.20488,1.1654,1.3309,0.84506,0.81012,0.0071884,0.0071884,0.0071884
144,145,0.94062,0.9536,0.49627,0.7969,0.91961,0.67624,0.79779,0.53861,0.79233,0.58265,0.63976,0.20894,1.1492,1.3319,0.8711,0.80854,0.0071686,0.0071686,0.0071686
145,146,0.95478,0.93376,0.50243,0.79965,0.8705,0.69538,0.78309,0.53842,0.77585,0.55415,0.60357,0.2122,1.1655,1.3299,0.84638,0.81014,0.0071488,0.0071488,0.0071488
146,147,0.92345,0.95311,0.49375,0.78994,0.90435,0.67532,0.79095,0.5479,0.78046,0.5779,0.63866,0.22213,1.1384,1.2735,0.8156,0.80657,0.007129,0.007129,0.007129
147,148,0.92635,0.93698,0.49079,0.79971,0.87257,0.67463,0.784,0.5367,0.74821,0.5782,0.62084,0.2135,1.158,1.303,0.87722,0.80711,0.0071092,0.0071092,0.0071092
148,149,0.94078,0.94111,0.49039,0.79683,0.89382,0.68419,0.7945,0.54272,0.74804,0.57039,0.59902,0.20414,1.1808,1.3812,0.85955,0.8068,0.0070894,0.0070894,0.0070894
149,150,0.94261,0.91538,0.50121,0.79691,0.88204,0.7266,0.80217,0.53998,0.73806,0.61072,0.63724,0.21459,1.1719,1.3264,0.79688,0.80661,0.0070696,0.0070696,0.0070696
150,151,0.9452,0.95708,0.50381,0.80676,0.86516,0.70936,0.80158,0.54704,0.77799,0.60345,0.63723,0.21589,1.1688,1.315,0.78471,0.80928,0.0070498,0.0070498,0.0070498
151,152,0.92224,0.93484,0.50486,0.79659,0.87209,0.71182,0.80569,0.54384,0.75041,0.60723,0.61931,0.20975,1.1806,1.3292,0.75164,0.80746,0.00703,0.00703,0.00703
152,153,0.9338,0.90644,0.49025,0.79421,0.87541,0.71182,0.81159,0.54893,0.74983,0.598,0.64309,0.22336,1.1525,1.2828,0.84625,0.80734,0.0070102,0.0070102,0.0070102
153,154,0.91972,0.91205,0.4904,0.80038,0.81173,0.73399,0.80421,0.54134,0.68729,0.6063,0.63115,0.20514,1.1568,1.263,0.81803,0.80708,0.0069904,0.0069904,0.0069904
154,155,0.90051,0.91568,0.47947,0.79593,0.88529,0.6798,0.78416,0.53082,0.73818,0.56897,0.60732,0.2086,1.1634,1.2629,0.88658,0.80849,0.0069706,0.0069706,0.0069706
155,156,0.90779,0.92518,0.47463,0.79768,0.88862,0.71429,0.79872,0.53256,0.75215,0.59798,0.61815,0.21357,1.1679,1.3279,0.87497,0.80845,0.0069508,0.0069508,0.0069508
156,157,0.89955,0.94219,0.49013,0.79263,0.84882,0.7266,0.80724,0.53732,0.75361,0.57635,0.61905,0.20948,1.1778,1.3992,0.87282,0.80993,0.006931,0.006931,0.006931
157,158,0.89825,0.93847,0.47408,0.79461,0.9152,0.68473,0.8057,0.54756,0.76327,0.57143,0.62193,0.21333,1.1783,1.438,0.9115,0.81017,0.0069112,0.0069112,0.0069112
158,159,0.9053,0.91268,0.4829,0.80215,0.89441,0.7069,0.81866,0.54403,0.75175,0.58621,0.60953,0.21212,1.177,1.3996,0.76476,0.81009,0.0068914,0.0068914,0.0068914
159,160,0.92894,0.97811,0.49829,0.79444,0.82213,0.74631,0.81247,0.54092,0.68104,0.61576,0.61851,0.20524,1.1585,1.3108,0.81023,0.80652,0.0068716,0.0068716,0.0068716
160,161,0.88857,0.91258,0.45367,0.79166,0.86817,0.71921,0.80921,0.55383,0.74642,0.58002,0.6268,0.21245,1.1677,1.325,0.91043,0.80845,0.0068518,0.0068518,0.0068518
161,162,0.90403,0.91867,0.48,0.80238,0.90791,0.70424,0.81742,0.55086,0.78884,0.56158,0.60791,0.20277,1.196,1.2456,0.78183,0.80949,0.006832,0.006832,0.006832
162,163,0.89206,0.92145,0.45899,0.79442,0.9096,0.71921,0.81472,0.54946,0.75092,0.59852,0.62689,0.21289,1.1676,1.2355,0.81382,0.80806,0.0068122,0.0068122,0.0068122
163,164,0.89843,0.92926,0.46063,0.79562,0.90834,0.72167,0.82573,0.55927,0.753,0.59606,0.62455,0.20928,1.16,1.2272,0.87267,0.8062,0.0067924,0.0067924,0.0067924
164,165,0.88942,0.92217,0.47533,0.79567,0.8964,0.70325,0.81586,0.54535,0.74547,0.58431,0.62316,0.21062,1.1916,1.3156,0.82396,0.80767,0.0067726,0.0067726,0.0067726
165,166,0.9083,0.91961,0.4748,0.79938,0.88684,0.72906,0.82476,0.55908,0.76873,0.58621,0.62094,0.20727,1.1474,1.2832,0.82111,0.8045,0.0067528,0.0067528,0.0067528
166,167,0.89225,0.91357,0.4703,0.79467,0.91484,0.72906,0.82474,0.55562,0.76703,0.61576,0.63861,0.20834,1.1648,1.2739,0.7875,0.80595,0.006733,0.006733,0.006733
167,168,0.9089,0.91765,0.46735,0.79554,0.92139,0.6929,0.81319,0.54813,0.79588,0.57389,0.61959,0.21624,1.1749,1.3495,0.80407,0.80729,0.0067132,0.0067132,0.0067132
168,169,0.89268,0.91871,0.46697,0.78867,0.83784,0.71266,0.7916,0.52633,0.76362,0.57635,0.62495,0.20963,1.1854,1.3635,0.82074,0.8095,0.0066934,0.0066934,0.0066934
169,170,0.88818,0.91,0.47569,0.79247,0.8713,0.70036,0.79533,0.53032,0.76647,0.54926,0.59626,0.20338,1.1771,1.3026,0.86434,0.80723,0.0066736,0.0066736,0.0066736
170,171,0.88037,0.89587,0.45144,0.79273,0.90737,0.70197,0.80036,0.54608,0.79372,0.56158,0.61691,0.2157,1.1693,1.3292,0.85075,0.80668,0.0066538,0.0066538,0.0066538
171,172,0.86947,0.88625,0.46382,0.79798,0.88661,0.69331,0.7855,0.54296,0.82195,0.54433,0.61618,0.21671,1.154,1.3128,0.84826,0.80787,0.006634,0.006634,0.006634
172,173,0.8808,0.92218,0.45091,0.79416,0.90171,0.70044,0.80152,0.54005,0.76619,0.56501,0.61151,0.20497,1.1713,1.2915,0.87417,0.80681,0.0066142,0.0066142,0.0066142
173,174,0.8977,0.93155,0.47399,0.78872,0.90229,0.70513,0.80767,0.54457,0.79028,0.56158,0.61917,0.20918,1.1851,1.2799,0.85368,0.80685,0.0065944,0.0065944,0.0065944
174,175,0.87483,0.89145,0.45716,0.78929,0.89739,0.68933,0.81262,0.55653,0.7775,0.58528,0.64066,0.21707,1.1317,1.2789,0.8562,0.80541,0.0065746,0.0065746,0.0065746
175,176,0.88197,0.87974,0.45099,0.7958,0.89189,0.73149,0.80913,0.55721,0.7408,0.60591,0.62467,0.2138,1.1619,1.3017,0.90362,0.80697,0.0065548,0.0065548,0.0065548
176,177,0.88146,0.89685,0.47052,0.79343,0.87368,0.7155,0.80358,0.54726,0.73224,0.59947,0.62356,0.21093,1.1479,1.265,0.83995,0.80597,0.006535,0.006535,0.006535
177,178,0.89915,0.89914,0.45936,0.79125,0.89314,0.67488,0.80149,0.54901,0.77059,0.58128,0.62874,0.20727,1.1559,1.2923,0.85428,0.80835,0.0065152,0.0065152,0.0065152
178,179,0.86245,0.89035,0.44611,0.78934,0.92842,0.67085,0.80931,0.55994,0.8236,0.56404,0.65754,0.22663,1.1286,1.2804,0.80256,0.80578,0.0064954,0.0064954,0.0064954
179,180,0.87273,0.85156,0.44972,0.79431,0.87554,0.71675,0.81935,0.56316,0.81241,0.58374,0.65663,0.23189,1.132,1.2467,0.82379,0.80405,0.0064756,0.0064756,0.0064756
180,181,0.8776,0.89187,0.44847,0.78667,0.89363,0.70355,0.81451,0.54138,0.76294,0.58374,0.60901,0.20906,1.1566,1.2733,0.8088,0.80474,0.0064558,0.0064558,0.0064558
181,182,0.86775,0.83175,0.45127,0.79285,0.87831,0.6798,0.803,0.54928,0.7977,0.53417,0.60862,0.22349,1.1615,1.3098,0.8132,0.80517,0.006436,0.006436,0.006436
182,183,0.87333,0.88536,0.45512,0.78967,0.86838,0.74749,0.83445,0.56281,0.72075,0.60395,0.61223,0.21836,1.1759,1.2645,0.75661,0.80719,0.0064162,0.0064162,0.0064162
183,184,0.85192,0.84787,0.43829,0.79342,0.90437,0.72205,0.83833,0.56282,0.77464,0.5936,0.64265,0.2022,1.1616,1.2899,0.79088,0.80594,0.0063964,0.0063964,0.0063964
184,185,0.86714,0.92807,0.4589,0.78779,0.91067,0.70197,0.81739,0.54896,0.77568,0.57635,0.62075,0.21264,1.1634,1.2978,0.85018,0.80608,0.0063766,0.0063766,0.0063766
185,186,0.86071,0.83856,0.4404,0.79384,0.89029,0.70443,0.81574,0.55361,0.74105,0.57635,0.61691,0.21665,1.1563,1.3034,0.80289,0.80559,0.0063568,0.0063568,0.0063568
186,187,0.85585,0.84555,0.43631,0.79261,0.85396,0.74631,0.83882,0.56428,0.80956,0.57635,0.65122,0.23054,1.152,1.3147,0.76214,0.80497,0.006337,0.006337,0.006337
187,188,0.87752,0.92619,0.4533,0.79477,0.86949,0.71921,0.82634,0.56508,0.78463,0.58128,0.64197,0.21813,1.1222,1.2662,0.76868,0.80519,0.0063172,0.0063172,0.0063172
188,189,0.85318,0.84665,0.45036,0.79841,0.8149,0.74384,0.82345,0.56084,0.7374,0.57882,0.61585,0.2137,1.1251,1.3046,0.77665,0.80346,0.0062974,0.0062974,0.0062974
189,190,0.86247,0.88065,0.44072,0.79257,0.89083,0.69212,0.8226,0.56243,0.77403,0.58128,0.6434,0.22723,1.124,1.2703,0.82893,0.80335,0.0062776,0.0062776,0.0062776
190,191,0.86205,0.90096,0.44226,0.7929,0.85162,0.73508,0.82959,0.56604,0.78885,0.55665,0.63048,0.22444,1.1498,1.2367,0.83072,0.8057,0.0062578,0.0062578,0.0062578
191,192,0.83565,0.86428,0.43882,0.79387,0.86394,0.7194,0.81622,0.5667,0.75817,0.59606,0.62518,0.22522,1.1361,1.2105,0.80367,0.80508,0.006238,0.006238,0.006238
192,193,0.84691,0.86055,0.44166,0.78805,0.90044,0.71288,0.81656,0.56514,0.778,0.60423,0.63567,0.22109,1.1185,1.2579,0.82003,0.80461,0.0062182,0.0062182,0.0062182
193,194,0.85225,0.87749,0.44921,0.79181,0.87468,0.70197,0.8009,0.54998,0.73093,0.5955,0.62398,0.22652,1.1455,1.2849,0.89737,0.80346,0.0061984,0.0061984,0.0061984
194,195,0.87232,0.88849,0.45098,0.79438,0.8767,0.68298,0.79415,0.54695,0.80234,0.5699,0.62467,0.2265,1.144,1.3187,0.87184,0.80505,0.0061786,0.0061786,0.0061786
195,196,0.86438,0.88946,0.43529,0.79572,0.90276,0.67488,0.80224,0.54908,0.76815,0.57143,0.62338,0.22247,1.1486,1.3045,0.89694,0.80721,0.0061588,0.0061588,0.0061588
196,197,0.85623,0.83418,0.43027,0.79352,0.87308,0.69467,0.81272,0.55343,0.75067,0.56158,0.63038,0.22369,1.1436,1.33,0.90315,0.80492,0.006139,0.006139,0.006139
197,198,0.84793,0.84822,0.43878,0.78717,0.86121,0.69704,0.80219,0.54782,0.79021,0.54738,0.61546,0.21364,1.1619,1.371,0.88233,0.80612,0.0061192,0.0061192,0.0061192
198,199,0.83172,0.81869,0.42442,0.78979,0.90633,0.70443,0.81133,0.54797,0.76627,0.5814,0.62127,0.21889,1.1897,1.3828,0.88169,0.80791,0.0060994,0.0060994,0.0060994
199,200,0.85251,0.87237,0.44156,0.79194,0.83056,0.72441,0.82635,0.55454,0.80448,0.57635,0.64042,0.22775,1.1753,1.3379,0.83476,0.80633,0.0060796,0.0060796,0.0060796
200,201,0.83758,0.82627,0.43215,0.78956,0.86673,0.71429,0.82806,0.56347,0.82173,0.57882,0.65051,0.23522,1.1484,1.2582,0.80939,0.80337,0.0060598,0.0060598,0.0060598
201,202,0.82925,0.87835,0.42269,0.78557,0.91142,0.70964,0.83025,0.56825,0.79273,0.58621,0.64378,0.22923,1.1242,1.2048,0.80101,0.80147,0.00604,0.00604,0.00604
202,203,0.84341,0.8294,0.43059,0.79342,0.87558,0.71429,0.82558,0.56341,0.74596,0.60837,0.64482,0.22361,1.1096,1.2147,0.8243,0.80301,0.0060202,0.0060202,0.0060202
203,204,0.85264,0.8656,0.44325,0.79482,0.87764,0.72906,0.83083,0.56724,0.79225,0.57389,0.63572,0.21665,1.1135,1.2184,0.81369,0.80206,0.0060004,0.0060004,0.0060004
204,205,0.84176,0.83814,0.4301,0.79917,0.846,0.76108,0.82776,0.56969,0.69306,0.62315,0.63549,0.2208,1.1233,1.2152,0.82986,0.80257,0.0059806,0.0059806,0.0059806
205,206,0.864,0.86119,0.43348,0.78849,0.91272,0.6954,0.82688,0.56506,0.79992,0.57635,0.65497,0.22856,1.1437,1.2358,0.85126,0.80425,0.0059608,0.0059608,0.0059608
206,207,0.82445,0.89676,0.42687,0.78955,0.86565,0.73399,0.82592,0.56909,0.76247,0.58621,0.64302,0.22535,1.1344,1.2587,0.8808,0.80442,0.005941,0.005941,0.005941
207,208,0.81943,0.85396,0.42255,0.78941,0.84519,0.72614,0.80978,0.55707,0.78145,0.56364,0.61648,0.21152,1.1261,1.2623,0.84441,0.80415,0.0059212,0.0059212,0.0059212
208,209,0.82018,0.78552,0.41926,0.79117,0.86065,0.71182,0.80567,0.55369,0.77225,0.57389,0.61588,0.21178,1.1355,1.2448,0.84051,0.80355,0.0059014,0.0059014,0.0059014
209,210,0.83804,0.83596,0.43026,0.79514,0.9134,0.70936,0.81805,0.563,0.77348,0.58872,0.63483,0.21298,1.1492,1.2656,0.81698,0.80564,0.0058816,0.0058816,0.0058816
210,211,0.85356,0.87869,0.42597,0.79551,0.91141,0.70948,0.82866,0.57047,0.79544,0.57468,0.62595,0.21371,1.1453,1.2791,0.79965,0.80618,0.0058618,0.0058618,0.0058618
211,212,0.82962,0.8662,0.43358,0.78648,0.93735,0.70023,0.82824,0.56896,0.77909,0.582,0.62254,0.21203,1.1516,1.3371,0.80199,0.80385,0.005842,0.005842,0.005842
212,213,0.85366,0.84234,0.43624,0.78884,0.9138,0.70498,0.81569,0.55581,0.78161,0.58374,0.6387,0.21745,1.1661,1.4116,0.86007,0.80519,0.0058222,0.0058222,0.0058222
213,214,0.84153,0.8112,0.43668,0.78706,0.93167,0.69458,0.81701,0.55653,0.79041,0.58867,0.6284,0.22319,1.1562,1.3984,0.85938,0.80405,0.0058024,0.0058024,0.0058024
214,215,0.80185,0.85434,0.41651,0.78219,0.9625,0.68719,0.82351,0.56495,0.81444,0.58128,0.63264,0.21941,1.1393,1.3647,0.85052,0.8029,0.0057826,0.0057826,0.0057826
215,216,0.81283,0.82156,0.42015,0.79174,0.91203,0.71496,0.83335,0.57026,0.77271,0.58613,0.62765,0.21318,1.1389,1.3563,0.81467,0.80221,0.0057628,0.0057628,0.0057628
216,217,0.8272,0.84077,0.42045,0.79158,0.91913,0.69986,0.82875,0.5608,0.77153,0.58222,0.63704,0.21792,1.1356,1.3752,0.87949,0.8029,0.005743,0.005743,0.005743
217,218,0.83399,0.83479,0.43158,0.78766,0.85413,0.72906,0.8238,0.55716,0.80035,0.55172,0.6302,0.22467,1.147,1.4042,0.86126,0.80401,0.0057232,0.0057232,0.0057232
218,219,0.8493,0.86112,0.43257,0.79327,0.83811,0.7266,0.81791,0.55223,0.71754,0.5936,0.61595,0.20734,1.145,1.391,0.86416,0.8024,0.0057034,0.0057034,0.0057034
219,220,0.82566,0.82768,0.41501,0.78804,0.8638,0.71921,0.81098,0.55182,0.75053,0.58374,0.62179,0.21084,1.1625,1.3692,0.86806,0.80486,0.0056836,0.0056836,0.0056836
220,221,0.81958,0.85195,0.42375,0.78875,0.89549,0.68473,0.80943,0.54501,0.74776,0.57635,0.61591,0.21111,1.1666,1.3281,0.85382,0.80407,0.0056638,0.0056638,0.0056638
221,222,0.79479,0.7923,0.41157,0.78592,0.90084,0.70197,0.81074,0.54804,0.75036,0.57635,0.61227,0.21918,1.1637,1.3296,0.83154,0.80475,0.005644,0.005644,0.005644
222,223,0.80392,0.82428,0.40562,0.78716,0.92353,0.68418,0.81222,0.5488,0.79899,0.55419,0.60882,0.21667,1.1839,1.3578,0.8801,0.80633,0.0056242,0.0056242,0.0056242
223,224,0.83164,0.84716,0.42868,0.78587,0.92719,0.68719,0.81341,0.55246,0.803,0.55911,0.61538,0.21937,1.1634,1.3402,0.88319,0.80678,0.0056044,0.0056044,0.0056044
224,225,0.80219,0.8196,0.39905,0.79232,0.90007,0.70443,0.81705,0.5624,0.80312,0.56897,0.62757,0.22203,1.1397,1.3308,0.8865,0.80299,0.0055846,0.0055846,0.0055846
225,226,0.80426,0.80356,0.42081,0.7862,0.89786,0.71446,0.82246,0.56237,0.75014,0.57679,0.61059,0.21831,1.1304,1.3219,0.84693,0.80334,0.0055648,0.0055648,0.0055648
226,227,0.81469,0.83401,0.41568,0.78381,0.84548,0.75123,0.82709,0.56656,0.74158,0.60079,0.63635,0.22743,1.1262,1.3312,0.87653,0.80277,0.005545,0.005545,0.005545
227,228,0.82459,0.83003,0.41652,0.78864,0.82343,0.74138,0.82347,0.56472,0.68076,0.61452,0.62775,0.22526,1.1321,1.3471,0.8625,0.80409,0.0055252,0.0055252,0.0055252
228,229,0.81372,0.79801,0.42141,0.78516,0.92638,0.68719,0.8196,0.568,0.7692,0.55419,0.61178,0.21694,1.1281,1.3535,0.84017,0.80465,0.0055054,0.0055054,0.0055054
229,230,0.82462,0.81427,0.41316,0.78252,0.87284,0.74138,0.82418,0.56971,0.73302,0.61538,0.63406,0.22556,1.1141,1.3303,0.83423,0.80399,0.0054856,0.0054856,0.0054856
230,231,0.80125,0.80039,0.40442,0.7848,0.88953,0.7338,0.82395,0.57126,0.73919,0.60591,0.63266,0.2288,1.116,1.3137,0.84412,0.80404,0.0054658,0.0054658,0.0054658
231,232,0.79279,0.82285,0.40283,0.7827,0.92325,0.71429,0.82612,0.56723,0.73563,0.61684,0.64475,0.23734,1.0944,1.2896,0.85149,0.80329,0.005446,0.005446,0.005446
232,233,0.79865,0.81258,0.40556,0.78993,0.92119,0.71429,0.82137,0.56373,0.75352,0.58128,0.62672,0.22735,1.1109,1.3036,0.86609,0.80421,0.0054262,0.0054262,0.0054262
233,234,0.80725,0.80945,0.41269,0.78514,0.88142,0.73234,0.82038,0.57051,0.74092,0.59606,0.63902,0.22912,1.1083,1.3134,0.86714,0.80397,0.0054064,0.0054064,0.0054064
234,235,0.82064,0.80208,0.40945,0.78793,0.88716,0.71182,0.81714,0.56591,0.73871,0.59113,0.63228,0.22359,1.1135,1.3413,0.8793,0.80448,0.0053866,0.0053866,0.0053866
235,236,0.81294,0.81505,0.41498,0.79101,0.87971,0.7069,0.8115,0.55779,0.7998,0.58374,0.65144,0.22636,1.1152,1.3294,0.89947,0.80384,0.0053668,0.0053668,0.0053668
236,237,0.78183,0.81484,0.40092,0.78508,0.86277,0.72778,0.82201,0.56814,0.82153,0.57824,0.66536,0.23545,1.121,1.3313,0.89471,0.80413,0.005347,0.005347,0.005347
237,238,0.78402,0.83163,0.4059,0.78553,0.91523,0.69138,0.81843,0.56272,0.80448,0.57389,0.65607,0.23431,1.1246,1.3186,0.87351,0.80505,0.0053272,0.0053272,0.0053272
238,239,0.78309,0.80698,0.39022,0.78561,0.90726,0.69879,0.82546,0.56824,0.77019,0.58374,0.64802,0.23282,1.1336,1.3822,0.88102,0.80627,0.0053074,0.0053074,0.0053074
239,240,0.80182,0.7815,0.39305,0.79187,0.86625,0.74631,0.83531,0.57457,0.78774,0.58504,0.65587,0.23029,1.1274,1.4174,0.84583,0.80569,0.0052876,0.0052876,0.0052876
240,241,0.80383,0.79583,0.4092,0.789,0.90238,0.72861,0.82702,0.56979,0.75989,0.60837,0.63496,0.21722,1.1217,1.4215,0.82124,0.80434,0.0052678,0.0052678,0.0052678
241,242,0.80278,0.82541,0.4015,0.78322,0.90584,0.73458,0.83142,0.57566,0.77169,0.59942,0.64398,0.22888,1.1162,1.4096,0.82212,0.80288,0.005248,0.005248,0.005248
242,243,0.79229,0.81743,0.39718,0.78634,0.90431,0.72158,0.82745,0.57172,0.73717,0.58721,0.62554,0.21771,1.1316,1.3688,0.83803,0.80398,0.0052282,0.0052282,0.0052282
243,244,0.78597,0.78305,0.38948,0.79095,0.87437,0.73399,0.83218,0.57541,0.71066,0.5989,0.63156,0.22163,1.1262,1.3377,0.84994,0.80446,0.0052084,0.0052084,0.0052084
244,245,0.7809,0.8144,0.3933,0.78546,0.89518,0.7266,0.83409,0.57005,0.73454,0.59606,0.63935,0.21857,1.1293,1.3243,0.82878,0.80368,0.0051886,0.0051886,0.0051886
245,246,0.77642,0.75863,0.38562,0.78709,0.87567,0.72414,0.8255,0.57403,0.74294,0.59084,0.64224,0.22966,1.1255,1.3241,0.86264,0.80295,0.0051688,0.0051688,0.0051688
